group,stop,ci,time,dying,dif5,dif10,id,_STAT_,g_dif5,g_dif10,flag5,flag10
1,0,0,0,0,5,10,1,MIN,0.005479452,0.008219178,,
1,29,0.000047102,0.079452055,0.004710205,4.920547945,9.920547945,2,MIN,0.005479452,0.008219178,,
1,30,9.42041E-05,0.082191781,0.009420409,4.917808219,9.917808219,3,MIN,0.005479452,0.008219178,,
1,38,0.000141306,0.104109589,0.014130614,4.895890411,9.895890411,4,MIN,0.005479452,0.008219178,,
1,105,0.000188408,0.287671233,0.018840819,4.712328767,9.712328767,5,MIN,0.005479452,0.008219178,,
1,122,0.00023551,0.334246575,0.023551023,4.665753425,9.665753425,6,MIN,0.005479452,0.008219178,,
1,131,0.000282612,0.35890411,0.028261228,4.64109589,9.64109589,7,MIN,0.005479452,0.008219178,,
1,132,0.000329714,0.361643836,0.032971433,4.638356164,9.638356164,8,MIN,0.005479452,0.008219178,,
1,184,0.000376816,0.504109589,0.037681637,4.495890411,9.495890411,9,MIN,0.005479452,0.008219178,,
1,187,0.000423918,0.512328767,0.042391842,4.487671233,9.487671233,10,MIN,0.005479452,0.008219178,,
1,191,0.000471021,0.523287671,0.047102047,4.476712329,9.476712329,11,MIN,0.005479452,0.008219178,,
1,192,0.000518123,0.526027397,0.051812251,4.473972603,9.473972603,12,MIN,0.005479452,0.008219178,,
1,219,0.000565225,0.6,0.056522456,4.4,9.4,13,MIN,0.005479452,0.008219178,,
1,235,0.000612327,0.643835616,0.061232661,4.356164384,9.356164384,14,MIN,0.005479452,0.008219178,,
1,250,0.000659429,0.684931507,0.065942865,4.315068493,9.315068493,15,MIN,0.005479452,0.008219178,,
1,314,0.000706531,0.860273973,0.07065307,4.139726027,9.139726027,16,MIN,0.005479452,0.008219178,,
1,341,0.000753633,0.934246575,0.075363275,4.065753425,9.065753425,17,MIN,0.005479452,0.008219178,,
1,354,0.000800735,0.969863014,0.080073479,4.030136986,9.030136986,18,MIN,0.005479452,0.008219178,,
1,358,0.000847837,0.980821918,0.084783684,4.019178082,9.019178082,19,MIN,0.005479452,0.008219178,,
1,418,0.000894939,1.14520548,0.089493889,3.854794521,8.854794521,20,MIN,0.005479452,0.008219178,,
1,468,0.000942041,1.282191781,0.094204093,3.717808219,8.717808219,21,MIN,0.005479452,0.008219178,,
1,488,0.000989143,1.336986301,0.098914298,3.663013699,8.663013699,22,MIN,0.005479452,0.008219178,,
1,496,0.001036245,1.35890411,0.103624503,3.64109589,8.64109589,23,MIN,0.005479452,0.008219178,,
1,517,0.001083347,1.416438356,0.108334707,3.583561644,8.583561644,24,MIN,0.005479452,0.008219178,,
1,561,0.001130449,1.536986301,0.113044912,3.463013699,8.463013699,25,MIN,0.005479452,0.008219178,,
1,566,0.001177551,1.550684932,0.117755116,3.449315069,8.449315069,26,MIN,0.005479452,0.008219178,,
1,606,0.001224653,1.660273973,0.122465321,3.339726027,8.339726027,27,MIN,0.005479452,0.008219178,,
1,639,0.001271755,1.750684932,0.127175526,3.249315069,8.249315069,28,MIN,0.005479452,0.008219178,,
1,647,0.001318857,1.77260274,0.13188573,3.22739726,8.22739726,29,MIN,0.005479452,0.008219178,,
1,677,0.001365959,1.854794521,0.136595935,3.14520548,8.14520548,30,MIN,0.005479452,0.008219178,,
1,689,0.001413061,1.887671233,0.14130614,3.112328767,8.112328767,31,MIN,0.005479452,0.008219178,,
1,749,0.001460163,2.052054795,0.146016344,2.947945206,7.947945206,32,MIN,0.005479452,0.008219178,,
1,821,0.001507266,2.249315069,0.150726549,2.750684932,7.750684932,33,MIN,0.005479452,0.008219178,,
1,861,0.001554368,2.35890411,0.155436754,2.64109589,7.64109589,34,MIN,0.005479452,0.008219178,,
1,872,0.00160147,2.389041096,0.160146958,2.610958904,7.610958904,35,MIN,0.005479452,0.008219178,,
1,877,0.001648572,2.402739726,0.164857163,2.597260274,7.597260274,36,MIN,0.005479452,0.008219178,,
1,887,0.001695674,2.430136986,0.169567368,2.569863014,7.569863014,37,MIN,0.005479452,0.008219178,,
1,899,0.001742776,2.463013699,0.174277572,2.536986301,7.536986301,38,MIN,0.005479452,0.008219178,,
1,900,0.001789878,2.465753425,0.178987777,2.534246575,7.534246575,39,MIN,0.005479452,0.008219178,,
1,911,0.00183698,2.495890411,0.183697982,2.504109589,7.504109589,40,MIN,0.005479452,0.008219178,,
1,921,0.001884082,2.523287671,0.188408186,2.476712329,7.476712329,41,MIN,0.005479452,0.008219178,,
1,957,0.001931184,2.621917808,0.193118391,2.378082192,7.378082192,42,MIN,0.005479452,0.008219178,,
1,1010,0.001978286,2.767123288,0.197828596,2.232876712,7.232876712,43,MIN,0.005479452,0.008219178,,
1,1013,0.002025388,2.775342466,0.2025388,2.224657534,7.224657534,44,MIN,0.005479452,0.008219178,,
1,1018,0.00207249,2.789041096,0.207249005,2.210958904,7.210958904,45,MIN,0.005479452,0.008219178,,
1,1035,0.002166692,2.835616438,0.216669192,2.164383562,7.164383562,46,MIN,0.005479452,0.008219178,,
1,1057,0.002213794,2.895890411,0.221379397,2.104109589,7.104109589,47,MIN,0.005479452,0.008219178,,
1,1090,0.002260896,2.98630137,0.226089601,2.01369863,7.01369863,48,MIN,0.005479452,0.008219178,,
1,1131,0.002307998,3.098630137,0.230799806,1.901369863,6.901369863,49,MIN,0.005479452,0.008219178,,
1,1163,0.0023551,3.18630137,0.235510011,1.81369863,6.81369863,50,MIN,0.005479452,0.008219178,,
1,1165,0.002402202,3.191780822,0.240220215,1.808219178,6.808219178,51,MIN,0.005479452,0.008219178,,
1,1172,0.002449304,3.210958904,0.24493042,1.789041096,6.789041096,52,MIN,0.005479452,0.008219178,,
1,1175,0.002496406,3.219178082,0.249640625,1.780821918,6.780821918,53,MIN,0.005479452,0.008219178,,
1,1178,0.002543508,3.22739726,0.254350829,1.77260274,6.77260274,54,MIN,0.005479452,0.008219178,,
1,1186,0.00259061,3.249315069,0.259061034,1.750684932,6.750684932,55,MIN,0.005479452,0.008219178,,
1,1187,0.002637712,3.252054795,0.263771239,1.747945206,6.747945206,56,MIN,0.005479452,0.008219178,,
1,1209,0.002684814,3.312328767,0.268481443,1.687671233,6.687671233,57,MIN,0.005479452,0.008219178,,
1,1220,0.002731917,3.342465753,0.273191648,1.657534247,6.657534247,58,MIN,0.005479452,0.008219178,,
1,1238,0.002779019,3.391780822,0.277901853,1.608219178,6.608219178,59,MIN,0.005479452,0.008219178,,
1,1269,0.002826121,3.476712329,0.282612057,1.523287671,6.523287671,60,MIN,0.005479452,0.008219178,,
1,1287,0.002873223,3.526027397,0.287322262,1.473972603,6.473972603,61,MIN,0.005479452,0.008219178,,
1,1288,0.002920325,3.528767123,0.292032467,1.471232877,6.471232877,62,MIN,0.005479452,0.008219178,,
1,1333,0.002967427,3.652054795,0.296742671,1.347945206,6.347945206,63,MIN,0.005479452,0.008219178,,
1,1335,0.003014529,3.657534247,0.301452876,1.342465753,6.342465753,64,MIN,0.005479452,0.008219178,,
1,1349,0.003061631,3.695890411,0.306163081,1.304109589,6.304109589,65,MIN,0.005479452,0.008219178,,
1,1370,0.003108733,3.753424658,0.310873285,1.246575343,6.246575343,66,MIN,0.005479452,0.008219178,,
1,1403,0.003155835,3.843835616,0.31558349,1.156164384,6.156164384,67,MIN,0.005479452,0.008219178,,
1,1405,0.003202937,3.849315069,0.320293695,1.150684932,6.150684932,68,MIN,0.005479452,0.008219178,,
1,1538,0.003250039,4.21369863,0.325003899,0.78630137,5.78630137,69,MIN,0.005479452,0.008219178,,
1,1560,0.003297141,4.273972603,0.329714104,0.726027397,5.726027397,70,MIN,0.005479452,0.008219178,,
1,1563,0.003344243,4.282191781,0.334424309,0.717808219,5.717808219,71,MIN,0.005479452,0.008219178,,
1,1590,0.003391345,4.356164384,0.339134513,0.643835616,5.643835616,72,MIN,0.005479452,0.008219178,,
1,1597,0.003438447,4.375342466,0.343844718,0.624657534,5.624657534,73,MIN,0.005479452,0.008219178,,
1,1616,0.003485549,4.42739726,0.348554923,0.57260274,5.57260274,74,MIN,0.005479452,0.008219178,,
1,1676,0.003532651,4.591780822,0.353265127,0.408219178,5.408219178,75,MIN,0.005479452,0.008219178,,
