group,stop,survival,time,dying,g_label,dif5,dif10,id,_STAT_,g_dif5,g_dif10,flag5,flag10,leg
1,0,1,0,0,With Hypertension,5,10,1,MIN,0,0,,,With Hypertension
1,6,0.999952898,0.016438356,0.004710205,With Hypertension,4.983561644,9.983561644,2,MIN,0,0,,,With Hypertension
1,10,0.999858696,0.02739726,0.014130392,With Hypertension,4.97260274,9.97260274,3,MIN,0,0,,,With Hypertension
1,20,0.999811594,0.054794521,0.018840597,With Hypertension,4.94520548,9.94520548,4,MIN,0,0,,,With Hypertension
1,21,0.999717392,0.057534247,0.028260784,With Hypertension,4.942465753,9.942465753,5,MIN,0,0,,,With Hypertension
1,29,0.99967029,0.079452055,0.032970989,With Hypertension,4.920547945,9.920547945,6,MIN,0,0,,,With Hypertension
1,30,0.999623188,0.082191781,0.037681194,With Hypertension,4.917808219,9.917808219,7,MIN,0,0,,,With Hypertension
1,34,0.999528986,0.093150685,0.047101381,With Hypertension,4.906849315,9.906849315,8,MIN,0,0,,,With Hypertension
1,38,0.999481884,0.104109589,0.051811586,With Hypertension,4.895890411,9.895890411,9,MIN,0,0,,,With Hypertension
1,39,0.999434782,0.106849315,0.05652179,With Hypertension,4.893150685,9.893150685,10,MIN,0,0,,,With Hypertension
1,41,0.999293483,0.112328767,0.070651739,With Hypertension,4.887671233,9.887671233,11,MIN,0,0,,,With Hypertension
1,43,0.999199281,0.117808219,0.080071926,With Hypertension,4.882191781,9.882191781,12,MIN,0,0,,,With Hypertension
1,44,0.999152179,0.120547945,0.084782131,With Hypertension,4.879452055,9.879452055,13,MIN,0,0,,,With Hypertension
1,47,0.999057977,0.128767123,0.094202318,With Hypertension,4.871232877,9.871232877,14,MIN,0,0,,,With Hypertension
1,52,0.998963775,0.142465753,0.103622506,With Hypertension,4.857534247,9.857534247,15,MIN,0,0,,,With Hypertension
1,53,0.998869573,0.14520548,0.113042693,With Hypertension,4.854794521,9.854794521,16,MIN,0,0,,,With Hypertension
1,55,0.998822471,0.150684932,0.117752898,With Hypertension,4.849315069,9.849315069,17,MIN,0,0,,,With Hypertension
1,56,0.998775369,0.153424658,0.122463102,With Hypertension,4.846575343,9.846575343,18,MIN,0,0,,,With Hypertension
1,58,0.998728267,0.15890411,0.127173307,With Hypertension,4.84109589,9.84109589,19,MIN,0,0,,,With Hypertension
1,60,0.998634065,0.164383562,0.136593495,With Hypertension,4.835616438,9.835616438,20,MIN,0,0,,,With Hypertension
1,68,0.998586963,0.18630137,0.141303699,With Hypertension,4.81369863,9.81369863,21,MIN,0,0,,,With Hypertension
1,72,0.998539861,0.197260274,0.146013904,With Hypertension,4.802739726,9.802739726,22,MIN,0,0,,,With Hypertension
1,73,0.998492759,0.2,0.150724109,With Hypertension,4.8,9.8,23,MIN,0,0,,,With Hypertension
1,75,0.998445657,0.205479452,0.155434314,With Hypertension,4.794520548,9.794520548,24,MIN,0,0,,,With Hypertension
1,81,0.998398555,0.221917808,0.160144518,With Hypertension,4.778082192,9.778082192,25,MIN,0,0,,,With Hypertension
1,83,0.998351453,0.22739726,0.164854723,With Hypertension,4.77260274,9.77260274,26,MIN,0,0,,,With Hypertension
1,86,0.998304351,0.235616438,0.169564928,With Hypertension,4.764383562,9.764383562,27,MIN,0,0,,,With Hypertension
1,88,0.998163051,0.24109589,0.183694876,With Hypertension,4.75890411,9.75890411,28,MIN,0,0,,,With Hypertension
1,89,0.998115949,0.243835616,0.18840508,With Hypertension,4.756164384,9.756164384,29,MIN,0,0,,,With Hypertension
1,90,0.998068847,0.246575343,0.193115285,With Hypertension,4.753424658,9.753424658,30,MIN,0,0,,,With Hypertension
1,91,0.998021745,0.249315069,0.19782549,With Hypertension,4.750684932,9.750684932,31,MIN,0,0,,,With Hypertension
1,93,0.997974643,0.254794521,0.202535695,With Hypertension,4.74520548,9.74520548,32,MIN,0,0,,,With Hypertension
1,94,0.997927541,0.257534247,0.2072459,With Hypertension,4.742465753,9.742465753,33,MIN,0,0,,,With Hypertension
1,98,0.997880439,0.268493151,0.211956104,With Hypertension,4.731506849,9.731506849,34,MIN,0,0,,,With Hypertension
1,100,0.997786237,0.273972603,0.221376292,With Hypertension,4.726027397,9.726027397,35,MIN,0,0,,,With Hypertension
1,102,0.997692035,0.279452055,0.230796479,With Hypertension,4.720547945,9.720547945,36,MIN,0,0,,,With Hypertension
1,103,0.997644933,0.282191781,0.235506684,With Hypertension,4.717808219,9.717808219,37,MIN,0,0,,,With Hypertension
1,105,0.997597831,0.287671233,0.240216889,With Hypertension,4.712328767,9.712328767,38,MIN,0,0,,,With Hypertension
1,106,0.997550729,0.290410959,0.244927093,With Hypertension,4.709589041,9.709589041,39,MIN,0,0,,,With Hypertension
1,107,0.997503627,0.293150685,0.249637298,With Hypertension,4.706849315,9.706849315,40,MIN,0,0,,,With Hypertension
1,109,0.997456525,0.298630137,0.254347503,With Hypertension,4.701369863,9.701369863,41,MIN,0,0,,,With Hypertension
1,113,0.997409423,0.309589041,0.259057708,With Hypertension,4.690410959,9.690410959,42,MIN,0,0,,,With Hypertension
1,115,0.997268123,0.315068493,0.273187655,With Hypertension,4.684931507,9.684931507,43,MIN,0,0,,,With Hypertension
1,118,0.997173922,0.323287671,0.282607842,With Hypertension,4.676712329,9.676712329,44,MIN,0,0,,,With Hypertension
1,120,0.99712682,0.328767123,0.287318047,With Hypertension,4.671232877,9.671232877,45,MIN,0,0,,,With Hypertension
1,121,0.997079718,0.331506849,0.292028252,With Hypertension,4.668493151,9.668493151,46,MIN,0,0,,,With Hypertension
1,122,0.996985516,0.334246575,0.301448439,With Hypertension,4.665753425,9.665753425,47,MIN,0,0,,,With Hypertension
1,123,0.996938414,0.336986301,0.306158644,With Hypertension,4.663013699,9.663013699,48,MIN,0,0,,,With Hypertension
1,124,0.996891312,0.339726027,0.310868849,With Hypertension,4.660273973,9.660273973,49,MIN,0,0,,,With Hypertension
1,127,0.99684421,0.347945206,0.315579054,With Hypertension,4.652054795,9.652054795,50,MIN,0,0,,,With Hypertension
1,129,0.996797107,0.353424658,0.320289259,With Hypertension,4.646575343,9.646575343,51,MIN,0,0,,,With Hypertension
1,131,0.996750005,0.35890411,0.324999464,With Hypertension,4.64109589,9.64109589,52,MIN,0,0,,,With Hypertension
1,132,0.996608706,0.361643836,0.339129411,With Hypertension,4.638356164,9.638356164,53,MIN,0,0,,,With Hypertension
1,133,0.996561604,0.364383562,0.343839616,With Hypertension,4.635616438,9.635616438,54,MIN,0,0,,,With Hypertension
1,135,0.996514502,0.369863014,0.34854982,With Hypertension,4.630136986,9.630136986,55,MIN,0,0,,,With Hypertension
1,137,0.9964674,0.375342466,0.353260025,With Hypertension,4.624657534,9.624657534,56,MIN,0,0,,,With Hypertension
1,138,0.996420298,0.378082192,0.35797023,With Hypertension,4.621917808,9.621917808,57,MIN,0,0,,,With Hypertension
1,141,0.996326096,0.38630137,0.367390417,With Hypertension,4.61369863,9.61369863,58,MIN,0,0,,,With Hypertension
1,142,0.996278994,0.389041096,0.372100622,With Hypertension,4.610958904,9.610958904,59,MIN,0,0,,,With Hypertension
1,143,0.996231892,0.391780822,0.376810827,With Hypertension,4.608219178,9.608219178,60,MIN,0,0,,,With Hypertension
1,145,0.99618479,0.397260274,0.381521032,With Hypertension,4.602739726,9.602739726,61,MIN,0,0,,,With Hypertension
1,147,0.99604349,0.402739726,0.395650979,With Hypertension,4.597260274,9.597260274,62,MIN,0,0,,,With Hypertension
1,148,0.995996388,0.405479452,0.400361184,With Hypertension,4.594520548,9.594520548,63,MIN,0,0,,,With Hypertension
1,149,0.995855089,0.408219178,0.41449113,With Hypertension,4.591780822,9.591780822,64,MIN,0,0,,,With Hypertension
1,151,0.995807987,0.41369863,0.419201335,With Hypertension,4.58630137,9.58630137,65,MIN,0,0,,,With Hypertension
1,152,0.995760885,0.416438356,0.42391154,With Hypertension,4.583561644,9.583561644,66,MIN,0,0,,,With Hypertension
1,154,0.99557249,0.421917808,0.442751023,With Hypertension,4.578082192,9.578082192,67,MIN,0,0,,,With Hypertension
1,156,0.995525388,0.42739726,0.447461229,With Hypertension,4.57260274,9.57260274,68,MIN,0,0,,,With Hypertension
1,158,0.995478286,0.432876712,0.452171434,With Hypertension,4.567123288,9.567123288,69,MIN,0,0,,,With Hypertension
1,160,0.995431184,0.438356164,0.456881639,With Hypertension,4.561643836,9.561643836,70,MIN,0,0,,,With Hypertension
1,161,0.995336982,0.44109589,0.466301826,With Hypertension,4.55890411,9.55890411,71,MIN,0,0,,,With Hypertension
1,162,0.99528988,0.443835616,0.471012031,With Hypertension,4.556164384,9.556164384,72,MIN,0,0,,,With Hypertension
1,163,0.995242778,0.446575343,0.475722236,With Hypertension,4.553424658,9.553424658,73,MIN,0,0,,,With Hypertension
1,168,0.995148576,0.460273973,0.485142423,With Hypertension,4.539726027,9.539726027,74,MIN,0,0,,,With Hypertension
1,169,0.995101474,0.463013699,0.489852628,With Hypertension,4.536986301,9.536986301,75,MIN,0,0,,,With Hypertension
1,171,0.995007272,0.468493151,0.499272815,With Hypertension,4.531506849,9.531506849,76,MIN,0,0,,,With Hypertension
1,175,0.99496017,0.479452055,0.50398302,With Hypertension,4.520547945,9.520547945,77,MIN,0,0,,,With Hypertension
1,176,0.994771775,0.482191781,0.522822503,With Hypertension,4.517808219,9.517808219,78,MIN,0,0,,,With Hypertension
1,177,0.994724673,0.484931507,0.527532708,With Hypertension,4.515068493,9.515068493,79,MIN,0,0,,,With Hypertension
1,178,0.994630471,0.487671233,0.536952895,With Hypertension,4.512328767,9.512328767,80,MIN,0,0,,,With Hypertension
1,179,0.994536269,0.490410959,0.546373083,With Hypertension,4.509589041,9.509589041,81,MIN,0,0,,,With Hypertension
1,180,0.994489167,0.493150685,0.551083288,With Hypertension,4.506849315,9.506849315,82,MIN,0,0,,,With Hypertension
1,182,0.994442065,0.498630137,0.555793493,With Hypertension,4.501369863,9.501369863,83,MIN,0,0,,,With Hypertension
1,184,0.994300766,0.504109589,0.569923439,With Hypertension,4.495890411,9.495890411,84,MIN,0,0,,,With Hypertension
1,185,0.994159466,0.506849315,0.584053385,With Hypertension,4.493150685,9.493150685,85,MIN,0,0,,,With Hypertension
1,186,0.994065264,0.509589041,0.593473573,With Hypertension,4.490410959,9.490410959,86,MIN,0,0,,,With Hypertension
1,187,0.994018162,0.512328767,0.598183778,With Hypertension,4.487671233,9.487671233,87,MIN,0,0,,,With Hypertension
1,189,0.99397106,0.517808219,0.602893983,With Hypertension,4.482191781,9.482191781,88,MIN,0,0,,,With Hypertension
1,191,0.993876858,0.523287671,0.61231417,With Hypertension,4.476712329,9.476712329,89,MIN,0,0,,,With Hypertension
1,192,0.993829756,0.526027397,0.617024376,With Hypertension,4.473972603,9.473972603,90,MIN,0,0,,,With Hypertension
1,194,0.993782654,0.531506849,0.621734581,With Hypertension,4.468493151,9.468493151,91,MIN,0,0,,,With Hypertension
1,196,0.993735552,0.536986301,0.626444786,With Hypertension,4.463013699,9.463013699,92,MIN,0,0,,,With Hypertension
1,197,0.99368845,0.539726027,0.631154991,With Hypertension,4.460273973,9.460273973,93,MIN,0,0,,,With Hypertension
1,198,0.993641348,0.542465753,0.635865197,With Hypertension,4.457534247,9.457534247,94,MIN,0,0,,,With Hypertension
1,199,0.993594246,0.54520548,0.640575402,With Hypertension,4.454794521,9.454794521,95,MIN,0,0,,,With Hypertension
1,201,0.993547144,0.550684932,0.645285607,With Hypertension,4.449315069,9.449315069,96,MIN,0,0,,,With Hypertension
1,206,0.993500042,0.564383562,0.649995812,With Hypertension,4.435616438,9.435616438,97,MIN,0,0,,,With Hypertension
1,207,0.99345294,0.567123288,0.654706017,With Hypertension,4.432876712,9.432876712,98,MIN,0,0,,,With Hypertension
1,211,0.993405838,0.578082192,0.659416223,With Hypertension,4.421917808,9.421917808,99,MIN,0,0,,,With Hypertension
1,212,0.993358736,0.580821918,0.664126428,With Hypertension,4.419178082,9.419178082,100,MIN,0,0,,,With Hypertension
1,215,0.993311634,0.589041096,0.668836633,With Hypertension,4.410958904,9.410958904,101,MIN,0,0,,,With Hypertension
1,217,0.993264532,0.594520548,0.673546838,With Hypertension,4.405479452,9.405479452,102,MIN,0,0,,,With Hypertension
1,218,0.99317033,0.597260274,0.682967026,With Hypertension,4.402739726,9.402739726,103,MIN,0,0,,,With Hypertension
1,219,0.99302903,0.6,0.697096971,With Hypertension,4.4,9.4,104,MIN,0,0,,,With Hypertension
1,221,0.992981928,0.605479452,0.701807177,With Hypertension,4.394520548,9.394520548,105,MIN,0,0,,,With Hypertension
1,222,0.992934826,0.608219178,0.706517382,With Hypertension,4.391780822,9.391780822,106,MIN,0,0,,,With Hypertension
1,223,0.992840624,0.610958904,0.715937569,With Hypertension,4.389041096,9.389041096,107,MIN,0,0,,,With Hypertension
1,224,0.992793522,0.61369863,0.720647774,With Hypertension,4.38630137,9.38630137,108,MIN,0,0,,,With Hypertension
1,225,0.99274642,0.616438356,0.72535798,With Hypertension,4.383561644,9.383561644,109,MIN,0,0,,,With Hypertension
1,226,0.992652218,0.619178082,0.734778167,With Hypertension,4.380821918,9.380821918,110,MIN,0,0,,,With Hypertension
1,231,0.992605116,0.632876712,0.739488372,With Hypertension,4.367123288,9.367123288,111,MIN,0,0,,,With Hypertension
1,233,0.992558014,0.638356164,0.744198577,With Hypertension,4.361643836,9.361643836,112,MIN,0,0,,,With Hypertension
1,234,0.992510912,0.64109589,0.748908783,With Hypertension,4.35890411,9.35890411,113,MIN,0,0,,,With Hypertension
1,235,0.99241671,0.643835616,0.75832897,With Hypertension,4.356164384,9.356164384,114,MIN,0,0,,,With Hypertension
1,237,0.992369608,0.649315069,0.763039175,With Hypertension,4.350684932,9.350684932,115,MIN,0,0,,,With Hypertension
1,238,0.992322506,0.652054795,0.76774938,With Hypertension,4.347945206,9.347945206,116,MIN,0,0,,,With Hypertension
1,240,0.992181207,0.657534247,0.781879326,With Hypertension,4.342465753,9.342465753,117,MIN,0,0,,,With Hypertension
1,242,0.992134105,0.663013699,0.786589531,With Hypertension,4.336986301,9.336986301,118,MIN,0,0,,,With Hypertension
1,244,0.992039903,0.668493151,0.796009718,With Hypertension,4.331506849,9.331506849,119,MIN,0,0,,,With Hypertension
1,247,0.991992801,0.676712329,0.800719923,With Hypertension,4.323287671,9.323287671,120,MIN,0,0,,,With Hypertension
1,249,0.991945699,0.682191781,0.805430129,With Hypertension,4.317808219,9.317808219,121,MIN,0,0,,,With Hypertension
1,250,0.991851497,0.684931507,0.814850316,With Hypertension,4.315068493,9.315068493,122,MIN,0,0,,,With Hypertension
1,251,0.991804395,0.687671233,0.819560521,With Hypertension,4.312328767,9.312328767,123,MIN,0,0,,,With Hypertension
1,252,0.991757293,0.690410959,0.824270727,With Hypertension,4.309589041,9.309589041,124,MIN,0,0,,,With Hypertension
1,253,0.991663091,0.693150685,0.833690914,With Hypertension,4.306849315,9.306849315,125,MIN,0,0,,,With Hypertension
1,255,0.991521791,0.698630137,0.847820859,With Hypertension,4.301369863,9.301369863,126,MIN,0,0,,,With Hypertension
1,259,0.991474689,0.709589041,0.852531064,With Hypertension,4.290410959,9.290410959,127,MIN,0,0,,,With Hypertension
1,260,0.991427587,0.712328767,0.857241269,With Hypertension,4.287671233,9.287671233,128,MIN,0,0,,,With Hypertension
1,261,0.991380485,0.715068493,0.861951475,With Hypertension,4.284931507,9.284931507,129,MIN,0,0,,,With Hypertension
1,262,0.991333383,0.717808219,0.86666168,With Hypertension,4.282191781,9.282191781,130,MIN,0,0,,,With Hypertension
1,263,0.991239181,0.720547945,0.876081867,With Hypertension,4.279452055,9.279452055,131,MIN,0,0,,,With Hypertension
1,265,0.991192079,0.726027397,0.880792073,With Hypertension,4.273972603,9.273972603,132,MIN,0,0,,,With Hypertension
1,266,0.991097877,0.728767123,0.89021226,With Hypertension,4.271232877,9.271232877,133,MIN,0,0,,,With Hypertension
1,267,0.991050775,0.731506849,0.894922465,With Hypertension,4.268493151,9.268493151,134,MIN,0,0,,,With Hypertension
1,268,0.991003673,0.734246575,0.899632671,With Hypertension,4.265753425,9.265753425,135,MIN,0,0,,,With Hypertension
1,271,0.990909471,0.742465753,0.909052858,With Hypertension,4.257534247,9.257534247,136,MIN,0,0,,,With Hypertension
1,272,0.990721077,0.74520548,0.927892336,With Hypertension,4.254794521,9.254794521,137,MIN,0,0,,,With Hypertension
1,273,0.990673975,0.747945206,0.932602542,With Hypertension,4.252054795,9.252054795,138,MIN,0,0,,,With Hypertension
1,274,0.990626873,0.750684932,0.937312747,With Hypertension,4.249315069,9.249315069,139,MIN,0,0,,,With Hypertension
1,275,0.990532671,0.753424658,0.946732934,With Hypertension,4.246575343,9.246575343,140,MIN,0,0,,,With Hypertension
1,278,0.990485569,0.761643836,0.95144314,With Hypertension,4.238356164,9.238356164,141,MIN,0,0,,,With Hypertension
1,281,0.990438467,0.769863014,0.956153345,With Hypertension,4.230136986,9.230136986,142,MIN,0,0,,,With Hypertension
1,282,0.990391365,0.77260274,0.960863551,With Hypertension,4.22739726,9.22739726,143,MIN,0,0,,,With Hypertension
1,285,0.990297163,0.780821918,0.970283738,With Hypertension,4.219178082,9.219178082,144,MIN,0,0,,,With Hypertension
1,286,0.990250061,0.783561644,0.974993943,With Hypertension,4.216438356,9.216438356,145,MIN,0,0,,,With Hypertension
1,287,0.990202959,0.78630137,0.979704149,With Hypertension,4.21369863,9.21369863,146,MIN,0,0,,,With Hypertension
1,289,0.990108757,0.791780822,0.989124336,With Hypertension,4.208219178,9.208219178,147,MIN,0,0,,,With Hypertension
1,290,0.990061655,0.794520548,0.993834541,With Hypertension,4.205479452,9.205479452,148,MIN,0,0,,,With Hypertension
1,291,0.989967453,0.797260274,1.003254728,With Hypertension,4.202739726,9.202739726,149,MIN,0,0,,,With Hypertension
1,294,0.989920351,0.805479452,1.007964934,With Hypertension,4.194520548,9.194520548,150,MIN,0,0,,,With Hypertension
1,295,0.989873249,0.808219178,1.01267514,With Hypertension,4.191780822,9.191780822,151,MIN,0,0,,,With Hypertension
1,296,0.989779047,0.810958904,1.022095326,With Hypertension,4.189041096,9.189041096,152,MIN,0,0,,,With Hypertension
1,297,0.989731945,0.81369863,1.026805532,With Hypertension,4.18630137,9.18630137,153,MIN,0,0,,,With Hypertension
1,302,0.989637743,0.82739726,1.036225719,With Hypertension,4.17260274,9.17260274,154,MIN,0,0,,,With Hypertension
1,303,0.989590641,0.830136986,1.040935925,With Hypertension,4.169863014,9.169863014,155,MIN,0,0,,,With Hypertension
1,305,0.989543539,0.835616438,1.04564613,With Hypertension,4.164383562,9.164383562,156,MIN,0,0,,,With Hypertension
1,306,0.989496437,0.838356164,1.050356336,With Hypertension,4.161643836,9.161643836,157,MIN,0,0,,,With Hypertension
1,307,0.989449335,0.84109589,1.055066541,With Hypertension,4.15890411,9.15890411,158,MIN,0,0,,,With Hypertension
1,308,0.989355133,0.843835616,1.064486728,With Hypertension,4.156164384,9.156164384,159,MIN,0,0,,,With Hypertension
1,311,0.989260931,0.852054795,1.073906915,With Hypertension,4.147945206,9.147945206,160,MIN,0,0,,,With Hypertension
1,313,0.989213829,0.857534247,1.078617121,With Hypertension,4.142465753,9.142465753,161,MIN,0,0,,,With Hypertension
1,314,0.989119627,0.860273973,1.088037308,With Hypertension,4.139726027,9.139726027,162,MIN,0,0,,,With Hypertension
1,315,0.989025425,0.863013699,1.097457495,With Hypertension,4.136986301,9.136986301,163,MIN,0,0,,,With Hypertension
1,316,0.988931223,0.865753425,1.106877682,With Hypertension,4.134246575,9.134246575,164,MIN,0,0,,,With Hypertension
1,318,0.988884121,0.871232877,1.111587887,With Hypertension,4.128767123,9.128767123,165,MIN,0,0,,,With Hypertension
1,319,0.988837019,0.873972603,1.116298093,With Hypertension,4.126027397,9.126027397,166,MIN,0,0,,,With Hypertension
1,320,0.988789917,0.876712329,1.121008298,With Hypertension,4.123287671,9.123287671,167,MIN,0,0,,,With Hypertension
1,322,0.988742815,0.882191781,1.125718504,With Hypertension,4.117808219,9.117808219,168,MIN,0,0,,,With Hypertension
1,324,0.988695713,0.887671233,1.13042871,With Hypertension,4.112328767,9.112328767,169,MIN,0,0,,,With Hypertension
1,327,0.988507318,0.895890411,1.149268186,With Hypertension,4.104109589,9.104109589,170,MIN,0,0,,,With Hypertension
1,328,0.988460216,0.898630137,1.153978392,With Hypertension,4.101369863,9.101369863,171,MIN,0,0,,,With Hypertension
